"Название";"ID";"Просмотры";"Канал";"Исходное видео";"Миниатюра"
"«Зовет на свидание девушка — приходят силовики». Как в Чечне вербуют на фронт";"LEKXnELfZaY";"33K";"The Insider";"4E6RLFOh7ss";"https://i.ytimg.com/vi/LEKXnELfZaY/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLBTRsL_w6IBFNoDynacLnvo8dkxjQ"
"⚡️НОВОСТИ | ФСБ ПЫТАЛА МУЗЫКАНТА | СБОЙ В АЭРОПОРТАХ | ЧП У РЖД | ИСТРЕБИТЕЛИ РФ НАД ЕВРОПОЙ";"xHn969lw0J0";"103K";"Ходорковский LIVE";"4E6RLFOh7ss";"https://i.ytimg.com/vi/xHn969lw0J0/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLBu7oG5AmPBzcRv3YotgGcJPpTHdg"
"Israeli Airstrikes Hit Gaza UN Schools Shelter Amid Civilian Displacement Crisis | APT";"cMRu_MH8aYs";"77K";"APT";"4E6RLFOh7ss";"https://i.ytimg.com/vi/cMRu_MH8aYs/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLDxPqESUsl9k6np65XVp6c8Gn9yeg"
"Как Живет Александр Лукашенко и Сколько Он Зарабатывает";"Zy_oagBxJQI";"9.7M";"MixShow";"4E6RLFOh7ss";"https://i.ytimg.com/vi/Zy_oagBxJQI/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLAjvBkSpngT1DMG2ignDPPf3Uqlqw"
"Iğdır’da Esnafa Kaldırım ve Hijyen Uyarısı: Kurallara Uymayana Ceza!";"aLZYImjBD5A";"6.7K";"Iğdır Belediyesi";"4E6RLFOh7ss";"https://i.ytimg.com/vi/aLZYImjBD5A/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4Af4JgALQBYoCDAgAEAEYUiBbKGUwDw==&rs=AOn4CLCOljNJpD1WfJWKzzYyQfNTMfbNaw"
"Засняли взятку, теперь не отвертится, лицо гаишника надо видеть!";"WwwFq7bgVcI";"13M";"Я.Н.";"98hqvgBlBbw";"https://i.ytimg.com/vi/WwwFq7bgVcI/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLCpPla3rg0pidMAYzaksmq4VMfubg"
"МУСОРА НА ТРАССЕ!!!";"4_Ny0iyd9EA";"1.1M";"Алексей Корягин";"98hqvgBlBbw";"https://i.ytimg.com/vi/4_Ny0iyd9EA/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLDC4M3m4GuYAvmIGElTddz4_BqMRQ"
"Что чувствует ТОТ, кто ВЫЖИЛ? Видео для тех, кому сейчас не оч)";"SRGgatw7MLM";"75K";"MORGENSHTERN";"98hqvgBlBbw";"https://i.ytimg.com/vi/SRGgatw7MLM/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLCryQyHwxlgZie6bNBsOsp5YGylAQ"
"Полицейский беспредел на дорогах Казахстана. Глас народа";"-BRaJO4h9F4";"941K";"ГЛАС НАРОДА  Сергей";"98hqvgBlBbw";"https://i.ytimg.com/vi/-BRaJO4h9F4/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLB6Q4861b-MrZVaDRk73No_zzutJA"
"Противоправные действия сотрудника полиции,г Судак показательная Республика Крым";"reYozF3Fk3w";"12K";"Керим";"98hqvgBlBbw";"https://i.ytimg.com/vi/reYozF3Fk3w/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4Ac4FgAKACooCDAgAEAEYYyBjKGMwDw==&rs=AOn4CLDd_13OZ2TYaI92QyPFMF0dO914CA"
